name,address,desc
Holiday Inn Express & Suites Seattle-City Center,"226 Aurora Ave N, Seattle, WA 98109","Discover all that Seattle has to offer at the Holiday Inn Express® & Suites Seattle - City Center. Our hotel's location is in the heart of downtown's shopping, dining and entertainment districts. You are sure to have a memorable trip when you stay with us. Business travelers find many of the area's major companies are near our hotel.Amazon, Microsoft, Boeing and Starbucks Corporation are all just a few minutes away. We are also close to the University Of Washington, Seattle University, and the Washington State Convention Center is a mile from our hotel. We feature business amenities like free high-speed Internet access and Business Center. You'll find many of Seattle's most popular attractions within a few miles of our hotel. The famous Space Needle, Experience Music Project and Key Arena are all just a few blocks away in Seattle City Center. Our hotel's location is also near Safeco and CenturyLink Field, as well as Seattle's Waterfront. Whether you're visiting Seattle for work or fun, we are the perfect home away from home. We offer parking for standard-size vehicles at $21 per night. We also have a 24-hour Fitness Center, heated indoor pool and complimentary Express Start Breakfast Bar, served each morning. Come see why travelers prefer the Holiday Inn Express & Suites to other downtown Seattle hotels. Make your reservations today!"
Staybridge Suites Seattle - Fremont,"3926 Aurora Ave N, Seattle, WA 98103","The Staybridge Suites Seattle, opened in 2015, offers guests a home away from home in the Center of the Universe near Downtown Seattle. Our upscale residential style hotel is conveniently located in the Fremont neighborhood off I-5 and Exit 169 and just minutes away from The University of Washington and Downtown Seattle. Our all-suite hotel features full kitchens and your choice of studio, one bedroom, and two bedroom suites. We can also accommodate your private business meetings or special events. Unwind after your long day on the roof deck overlooking Mt. Rainier and South Lake Union or enjoy the indoor, heated pool and be sure to take advantage of our complimentary Monday through Wednesday evening social reception and free breakfast buffet every morning. Also enjoy our complimentary shuttle which runs 7 days a week and can take you to nearby local attractions. Experience the many attractions that the Seattle Fremont area has to offer including, The Ballard Locks, The Experience Music Project, or the Woodland Park Zoo. Fremont hosts a wide array of events and businesses alike, including Google, Tableau, Adobe, Brooks Sports, Theo Chocolates, Amazon, and many more within walking distance of the hotel."
Mayflower Park Hotel,"405 Olive Way, Seattle, WA 98101","From crystal chandeliers to fresh flowers to complimentary Wi-Fi internet access and Wednesday wine receptions, the Mayflower Park Hotel offers the quintessential Seattle experience. Built in 1927, the beautifully renovated Mayflower Park Hotel is one of the last remaining locally owned and independent hotels in the Seattle area. It is centrally located next to Westlake Center, the Monorail to Seattle Center and the Sound Transit Light Rail to SeaTac Airport. It is a proud member of Historic Hotels of American and was recently presented the prestigious “Best Historic Hotel” award. The hotel is also home to award-winning cocktail bar Oliver’s and Seattle’s Mediterranean restaurant Andaluca.  "
The Inn at El Gaucho,"2505 1st Ave, Seattle, WA 98121","Step back in time, to an era of uncompromising service and total indulgence. Adorned in retro-swank fifties décor, the Inn at El Gaucho delivers an unparalleled personal experience tailored to each guest's unique Seattle story. Located in Seattle’s ultra-hip Belltown neighborhood, the Inn is minutes away from landmarks such as the Pike Place Market and the Space Needle. Whether traveling from across the globe or across the lake, a stay at The Inn at El Gaucho will leave you with memories meant for sharing and a feeling worth returning for."
Palihotel Seattle,"107 Pine St, Seattle, WA 98101","Welcome to our intimate, fun, comfortable and contemporary boutique hotel located directly across the street from Downtown Seattle’s famed Pike Place Market and the Elliott Bay Waterfront. Recently named one of the best new hotels in the world by Travel + Leisure (IT LIST 2019),  we are proud to offer 96 rooms, The Hart and The Hunter restaurant, bar and coffee bar as well as our cozy lobby lounge. We have carefully designed the entire hotel to help enhance the area’s proud and vibrant neighborhood and our ground floor to be communal and inclusive spaces for travelers and locals alike. Our rooms are highly stylized yet fun and approachable, appealing to a broad range of travelers. Featuring a bold blend of classic and contemporary design and art. Amenities include Smeg fridges, fully stocked mini bars, 43 inch TV’s, safes, custom bath products and work desks. Offering a mixture of King, Queen, Twin, and Bunk rooms."
Courtyard by Marriott Seattle Downtown/Pioneer Square,"612 2nd Ave, Seattle, WA 98104","Embark on an unparalleled stay at Courtyard Seattle Downtown/Pioneer Square. Our stylish hotel is housed in the historic Alaska Building built in the early 1900s. Fill your stay with fun when you visit Safeco Field, Pike Place Market and CenturyLink Field. Access an array of attractions when you take the train at the nearby King Street Station. Retire from adventures in our modern rooms and suites, many featuring scenic bay views. We provide free Wi-Fi, luxurious bedding and flat-panel TVs for a relaxing retreat. Worked up an appetite? Dine at The Bistro, serving American cuisine and Starbucks? coffee. We also offer cocktails at our lobby bar. During spare moments, swim laps in our indoor pool and exercise at our 24-hour fitness center. If you're traveling for business, host a meeting in one of our nine event spaces. Take advantage of our catering options and planning services to elevate your special occasion. No matter the reason for your visit, enjoy comfort at Courtyard Seattle Downtown/Pioneer Square."
The Arctic Club Seattle - a DoubleTree by Hilton Hotel,"700 3rd Ave, Seattle, WA 98104","Welcome to The Arctic Club Seattle – a DoubleTree by Hilton Hotel and a AAA 4-Diamond Award-winning hotel in Seattle, WA. Enjoy your stay at this conveniently located downtown hotel, which is within walking distance to a variety of local attractions such as Pioneer Square, Pike Place Market and The Washington Convention Center. Enjoy convenient travel through the city of Seattle on the light rail system located directly outside this Seattle hotel. This tastefully decorated hotel in Seattle, WA offers a unique experience, echoing the post-Klondike gold rush days of the early 1900s. It also offers modern facilities to business and leisure travelers alike, including WiFi and 5,700 sq. ft. of meeting and event space. Wine and dine in style and at your convenience at our hotel in Seattle, WA. Relax in the Iconic Polar Bar and enjoy a Sazerac or just soak in the atmosphere around you. Join us at JUNO restaurant, serving freshly prepared seasonal menu items with a Northwest influence and casual urban food. Celebrate a special occasion in private dining rooms - the Edward Curtis Room, Pioneer Room, Club Board Room, or at the famous Northern Lights Dome Room. Relax in stylish guest rooms and suites with great amenities such as flat-screen HDTVs, plush bedding & Starbucks French pressed coffee."
Sheraton Bellevue Hotel,"100 112th Ave NE, Bellevue, WA 98004","The Sheraton Bellevue features a crisp fresh interior for all 178 guest rooms, public areas, function spaces and restaurant with complimentary Wi-Fi. Club levels located on two preferred floors offer upgraded amenities, bottled water, robe and deluxe bath products. Sheraton Club level rooms provide access to the Club Lounge with complimentary continental breakfast and evening snacks and beverages with beer and wine available for purchase. Our flexible meeting space can accommodate groups up to 240. All of our 8,000 square feet of function space can be quickly transformed for meetings, parties and special celebrations. Placed in the heart of Bellevue, you'll be close to the cities of Seattle, Redmond, Kirkland and Issaquah."
Inn at Queen Anne,"505 1st Ave N, Seattle, WA 98109","A quaint and comfortable hotel in Queen Anne, Seattle for the budget conscious traveler, the Inn at Queen offers the simple charm of a European inn, with all of the convenience of a full-service hotel. Built in 1928, the inn is tucked away in the Queen Anne neighborhood of Seattle, Washington. Our small historic Seattle hotel features the old world characteristics of coved ceilings, arched entryways and period furnishings. Step back in time when you stay at our hotel in Queen Anne, Seattle, a rare gem that offers easy access to the modern downtown area. The Inn at Queen Anne is located in the vibrant and eclectic Queen Anne neighborhood of Seattle, WA directly across the street from the Seattle Center. From our Seattle hotel in lower Queen Anne, easily walk to the KeyArena, Space Needle, Pacific Northwest Ballet, McCaw Hall, and many other local Seattle tourist attractions. Live like the locals with a host of diverse restaurants, shops, coffee houses and nightspots all within walking distance in this popular Seattle neighborhood. The Inn at Queen Anne is less than 2 miles from downtown attractions such as Pike Place Market, Olympic Sculpture Park, Elliott Bay waterfront and Seattle cruise ship terminals. The Inn is also close by key businesses in Seattle, including Bumbershoot, Microsoft, Amazon, the Bill and Melinda Gates Foundation, University of Washington, and the Cornish School of Arts."
Aloft Seattle Redmond,"15220 NE Shen Street, Redmond, WA 98052","Celebrate your style at Aloft Seattle Redmond, a hip new hotel where you'll be close to the headquarters of both Microsoft, T Mobile, SpaceX and Nintendo of America. We offer easy-breezy access to other corporate offices, beautiful outdoor attractions and shopping and dining. Meet & mingle with friends at our w xyz bar, grab a sweet, savory or healthy snack from re:fuel by Aloft(SM), our 24/7 pantry, or play in our re:mix(SM) lounge. Plus, you can always stay connected with free hotel-wide wireless high speed internet access. Breeze into one of our Aloft rooms, featuring our ultra-comfortable signature bed, walk-in shower, custom amenities by Bliss® Spa and more. Our plug & play connectivity station charges all your electronics and casts to the 49” LCD TV to maximize work and play. Our state-of-the-art fitness center, refreshing pool and healthy food options are all available under one roof with the adjoining Element Seattle Redmond. Located in subruban Redmond adjacent to the Microsoft campus close to local restuarants and entertainment."
Seattle Airport Marriott,"3201 S 176th St, Seattle, WA 98188","Experience a revitalizing stay at Seattle Airport Marriott. We streamline your travel routine by offering a complimentary shuttle to and from Seattle-Tacoma International Airport. Explore the local area, brimming with alluring attractions, such as Westfield Southcenter mall and the Museum of Flight. Afterwards, unwind from your adventure in our modern rooms and suites, outfitted with plush bedding, flat-panel TVs and free Wi-Fi for your ultimate convenience. Enjoy fresh seafood at our on-site restaurant, Aqua Terra, and a freshly brewed cup of coffee at Consummate Grind cafe. For active travelers, partake in an invigorating workout at our 24-hour fitness center. Need to host an event? Reserve one of our 14 versatile event spaces for your next business meeting or wedding reception. We also feature an outdoor atrium, which provides a gorgeous backdrop for intimate gatherings. Whether you're embarking on a vacation getaway or corporate travels, settle into relaxation at Seattle Airport Marriott."
Hilton Seattle Airport & Conference Center,"17620 International Blvd, Seattle, WA 98188","Only minutes from Seattle-Tacoma International Airport, we're convenient and friendly. Make yourself comfortable in one of our modern rooms, offering everything you need for a great stay. Watch a movie on your 37-inch flat screen or freshen up in the stylish bathroom. Savor a delicious meal at Spencer's Steakhouse or take a dip in the outdoor pool. Host a conference or event for up to 1200 people in a range of flexible meeting spaces."
Crowne Plaza Seattle Airport,"17338 International Blvd, Seattle, WA 98188","Welcome to the Crowne Plaza Seattle Airport Located across the sky bridge from Seattle Tacoma International Airport and adjacent to the train station, where the light rail train leaves every 12 minutes to downtown Seattle. Take the train to visit the Space Needle, Pike Place Market, Westlake Shopping Center, Nordstrom’s flag ship store, Century Link, Safeco Field, and the University of Washington.Just beyond our front doors are headquarters of Fortune 500 companies such as Boeing, Microsoft, Amazon, Apple, Google, Tableaux, Facebook and Starbucks. Seattle offers everything from professional sports to hiking up Mt. Rainier, leisure guests planning cruises from Seattle love our hotel's ""Park, Stay and Go"" package. Join us in Reflections Bar and Grill for a Pacific Northwest dining experience featuring local beers and wine with light bites.Crowne Plaza Seattle Airport has over 12,000 square feet of private event space onsite, with 7 meeting rooms, and two Ballrooms, including our 5,000 square feet Summit Ballroom with 20-feet ceilings. Our dedicated Crowne Meeting Director and banquets team will cater to your every need and ensure your event is a success. Above all, our hotel approach offers guests everything they need for a comfortable stay. From our warm and friendly staff to the full-service restaurant and lounge, Crowne Plaza Seattle Airport hotel is the friendliest and best choice around!"
Radisson Hotel Seattle Airport,"18118 International Blvd, Seattle, WA 98188","Located across the street from Seattle-Tacoma International Airport (SEA) and within walking distance of the light rail to downtown, Radisson Hotel Seattle Airport is ideal for travelers seeking a convenient location near Emerald City attractions. Watch the Mariners play ball at Safeco Field, or head to Pike Place Market to browse hundreds of local vendors. You can also use our complimentary airport shuttle for hassle-free commutes to and from Sea-Tac and confirm flight schedules using our free Wi-Fi. Whether you’re visiting for business or fun, our heated indoor pool and on-site restaurant can reduce the stress of travel. During your stay, work out in our fitness center or prepare for meetings in our business center. Traveling with a furry friend? Our hotel is dog friendly. Enjoy these amenities: Free Sea-Tac Airport shuttle, Overnight parking, $22 per day; long-term parking also available (fees apply), Business center with complimentary printing, Free Wi-Fi, Heated indoor pool, Dog friendly (fees apply)."
DoubleTree by Hilton Hotel Seattle Airport,"18740 International Blvd, Seattle, WA 98188","Welcome to DoubleTree by Hilton Hotel Seattle Airport, located less than one mile from Seattle-Tacoma International Airport. Our friendly staff is waiting to greet you with one of our signature freshly baked chocolate chip cookies. Every guest room features a balcony, 37-inch flat-screen HDTV, a comfortable bed and a spacious work station. Upgrade to a suite to relax in your own deep soaking tub or admire the spectacular views. Accessible rooms are available. Hold your business function or social event in one of our 26 meeting and event rooms located over two floors. Stay connected with our business center and complimentary WiFi. Exercise in our fully equipped fitness center. Swim lengths in the outdoor pool. Tee off on a virtual golf course with The Golf Club at DoubleTree. Begin your day at Coffee Garden Restaurant. Have a relaxed, informal lunch or delicious dinner featuring fresh, local Pacific Northwest ingredients in SeaPorts Restaurant, or catch up on the latest news and sports in SeaPorts Lounge. Seattle hotel packages for business travel or leisure, Complimentary airport shuttle 24 hours a day, Seasonal outdoor pool with whirlpool and two fitness centers, Three restaurants, one lounge and a nightclub on-site, Easy direct access to downtown Seattle via Sound Transit Light Rail, 26 meeting and event rooms accommodating up to 1,200 guests, Complimentary WiFi. "
Ramada by Wyndham SeaTac Airport,"16720 International Blvd, SeaTac, WA 98188","Exploring the Puget Sound is easy when you make a reservation at our Ramada SeaTac Airport hotel. Located off I-5, our SeaTac setting near the Museum of Flight places you within minutes of great restaurants and top attractions. Seattle Tacoma International Airport (SEA) is a quick three-minute drive from our front doors. Start your morning with a full-service breakfast, check the headlines with a free USA Today, and reply to email with free WiFi. Leisure facilities include a fitness center and heated outdoor pool. All of our guestrooms are well-equipped with a coffee maker, safe, and free HBO. Kitchenettes and suites with jetted hot tubs provide extra space and amenities for extended stays. 100% non-smoking and accessible accommodations are also available. Take advantage of our free airport shuttle service. Parking available for a nominal fee."
La Quinta by Wyndham Seattle Sea-Tac Airport,"2824 S 188th St, Seattle, WA 98188","Located south of downtown Seattle, our hotel was named a 2012 TripAdvisor Certificate of Excellence winner. Sitting between Tacoma and Seattle, our location couldn’t be better for the savvy traveler. There’s access to great shopping, and a variety of restaurants. Easy access to the city is great for time saving, and our relaxing outdoor swimming pool is perfect for entertaining the family, while you conduct business. Take a short drive into Seattle to sightsee, or shop in one of the most diverse cities in the Pacific Northwest. Our comfortable guest rooms are equipped with high-speed Internet allowing for quick and well-informed planning of your itinerary. There are great attractions nearby, such as the Museum of Flight, Six Flags Enchanted Park, Pike Place Market, and Safeco Field. We’re perfectly located to suit your travel needs. Whether you’re staying for business or pleasure, our award-winning hotel is sure to make your trip a pleasant one. Wake up to our free Bright Side Breakfast®, and enjoy our all you-can-drink coffee and juice. We’ve newly added Samsung Flat-panel TVs that offer plug-and-play compatibility for your favorite electronic devices. With 30 HD channels to choose from, you’ll have no problem finding something to watch, and our beautiful outdoor swimming pool provides a great escape from a long day of travel. Our hotel is close to downtown Seattle, and just a few blocks from the airport. Use our no stress shuttle service to visit the city and enjoy a variety of attractions and shopping options. You can even conduct your business on site by using our Business Center. We’re on the northwestern corner of South 188th Street and International Blvd, and just one mile west of I-5 with limited on-site parking (while you are a guest of our hotel), and weekly parking is available with our Stay and Go package. So, you can leave your car with us, and pick it up on your return."
Clarion Hotel Seattle Airport,"3000 S 176th St, Seattle, WA 98188","If you are looking for a convenient, affordable and accommodating conference center hotel for your next meet-up or reunion, then book the Clarion® Hotel Seattle Airport. Amenities include: Free WiFi, Free parking, Free airport transportation, Indoor heated pool, Meeting space. Guest rooms feature: Refrigerator (some rooms), Coffee maker, Iron and ironing board. When you stay at our Seattle Tacoma Airport hotel you will have easy access to many of the area’s top attractions, including: Pike Place Market, KeyArena at Seattle Center, CenturyLink Field, SafeCo Field, Westfield Mall. We also give our guests the opportunity to earn rewards, including free nights and gift cards, with the Choice Privileges Rewards program while here. And don’t forget that our Seattle Tacoma Airport hotel is pet-friendly as well."
Best Western Seattle Airport Hotel,"20717 International Blvd, Seattle, WA 98198","Enjoy convenient access to the Seattle/Tacoma International Airport while staying at this full-service Seattle, Washington hotel. Welcome to the Best Western Seattle Airport Hotel, where guests will discover the highest standard of customer service and accommodations for an affordable rate. Situated only 1.5 miles from the Seattle/Tacoma International Airport, this 100% non-smoking Seattle hotel features well-appointed guest rooms and suites, each equipped with over 70 free cable television channels and free wireless high-speed Internet access. Start the day off with a complimentary hot breakfast buffet featuring make-your-own waffles! Then enjoy a variety of delicious cuisines at the onsite restaurant. Take a dip in the indoor swimming pool before relaxing in the whirlpool hot tub. The hotel also features an exercise facility, a business center, social area in the atrium overlooking the pool with ping pong, foosball and shuffleboard. Guests will also appreciate the complimentary airport shuttle and Park and Fly packages. Only 15 miles from the heart of Seattle, guests staying at the Best Western Seattle Airport Hotel will find themselves close to many of Seattle's key attractions such as the Space Needle, Pike Street Market and the Southcenter Mall. Easy access to the Light Rail link which offers fast service to downtown Seattle with stops at Safeco & CenturyLink Field (home of the Mariners & the Seahawks). Enjoy an afternoon of fun at Wild Waves or Enchanted Village located only minutes away or spend the afternoon touring the Boeing Museum of Flight. The Alaska Cruises Departure Ports are located only 15 miles from the hotel, making the hotel ideal for travelers heading out to sea. "
Red Lion Hotel Seattle Airport Sea-Tac,"18220 International Blvd, Seattle, WA 98188","Welcome to Red Lion's Seattle Airport Hotel. We're just steps from the Seattle International Airport's runway and Seattle's Link Light Rail, for convenient access to metro Seattle. One of the most conveniently located hotels in Seattle near the airport, Red Lion Seattle Airport is a leading provider of comfortable accommodations in the area. We're happy to offer complimentary airport transportation that runs every 5 to 7 minutes to and from our Seattle airport hotel run by Master Park, look for a yellow airport shuttle with our logo on the side. Plush amenities, casually luxurious guestrooms, that include brand new plush pillow-top beds, 55 inch HD flat screen TVs and premium service are just some of the hallmarks associated with Red Lion Hotel Seattle Airport. Whether you're in town for an extended layover, looking to explore the best of Seattle, or are in town for business, you'll enjoy retreating to our 144 guest rooms. Relieve the stress of traveling in our state-of-the-art fitness center after enjoying a signature breakfast, lunch, or dinner in our on-site dining facility."
Cedarbrook Lodge,"18525 36th Ave S, Seattle, WA 98188","You’ve found your place. When you’re away from the comforts of home, you want to stay somewhere warm and welcoming. The authentic Northwest setting at Cedarbrook Lodge, along with amenities that raise the bar of pure comfort, deliver a unique, inspiring visit. Come unwind and refresh in The Spa and dine in Copperleaf Restaurant or Copperleaf Bar & Terrace as world-class hospitality threads through every aspect of your experience. And given how close Cedarbrook is to SeaTac Airport and the adventures that await in Seattle, you’ll revel in the convenience of an exciting city excursion. Not your typical hotel near SeaTac experience, your time at Cedarbrook Lodge gives you access to a lush 18-acre retreat, placing you amid a true urban oasis. Whether traveling for business or pleasure, this is your well-earned escape."
Red Roof Inn Seattle Airport - SEATAC,"16838 International Blvd, Seattle, WA 98188","Red Roof Inn Seattle Airport - SEATAC is a 100% smoke-free, pet-friendly hotel in Seattle that’s less than a half mile away from the Seattle – Tacoma International Airport. We are also located near the Southcenter Mall, Safeco Field, CenturyLink Field, the Museum of Pop Culture, the Museum of Flight, the Seattle Art Museum, Wing Luke Museum, the Space Needle, Key Arena and the Highline Community Medical Center. What makes us stand out among the budget hotels in Seattle is that we offer free Verified Wi-Fi, a free airport shuttle and an on-site fitness center. Car parking is available for overnight guests at Red Roof Inn Seattle Airport - SEATAC for only $10/night. Red Roof Inn Seattle Airport - SEATAC is only minutes away from traveling to and from the Seattle – Tacoma International Airport. We offer a free 24-hour shuttle to and from the airport as well as easy access to I-5/I-405. Shop the latest trends at South center Mall, located less than two miles away. Experience the Space Needle, one of Seattle’s historic landmarks. Cheer on your favorite sports teams at Safeco Field, home of the Seattle Mariners, as well as CenturyLink Field, home of the Seattle Seahawks. Check out the museum exhibits Seattle has to offer such as the Museum of Pop Culture, the Museum of flight, the Seattle Art Museum and Wing Luke Museum. Take just a short drive to enjoy a live concert at Key Arena. We are also close to the health facilities at the Highline Community Medical Center. After a day filled with adventure, check into our family-friendly hotel by speaking with our pleasant bilingual staff. Sit back and enjoy all of the amenities this Red Roof in Seattle has to offer including our free Wi-Fi and expanded cable package. Make time for a workout at our onsite fitness facility and help yourself to our guest coin laundry. Stop by our lobby and enjoy a hot cup of coffee or tea and purchase a snack from our snack center. At Red Roof Inn Seattle Airport - SEATAC, your pet can stay the night at no extra cost! Shuttle Information: Take advantage of our complimentary airport shuttle to and from the airport. Shuttle service runs every 20 minutes 4AM – 12PM (noon) daily. Outside of this timeframe, the shuttle runs on demand. For more information please call the hotel directly about your specific pickup/drop-off location and time."
Hampton Inn Seattle-Airport,"19445 International Blvd, Seattle, WA 98188","Hampton Inn Seattle-Airport is located eight blocks from Seattle-Tacoma International Airport. Enjoy free 24-hour shuttle service to the airport and local restaurants. Our 130-room hotel offers convenient access to the light rail and area businesses. Visit downtown Seattle attractions including the famous Space Needle and Pike Place Market, 15 miles from the hotel. Explore the EMP, an interactive music museum with artifacts from acts who originated from the Pacific Northwest including Bing Crosby, Heart, Jimi Hendrix, Pearl Jam and Nirvana. Learn about Puget Sound’s giant octopus population at the hands-on Seattle Aquarium. Across from the hotel, Angle Lake Park offers a swimming area, kids’ play area and short jogging trail. Spend a day golfing on a local course or take a day trip to Mt. Ranier. Savor Pacific Northwest seafood at a local restaurant. Order a latté at the world’s first Starbucks at Pike Place Market. Whether you’re visiting Seattle for business or a Pacific Northwest getaway, enjoy our comfortable guest rooms that offer free internet access and 32-inch flat-screen TVs. Finish a report for tomorrow’s meeting at the work desk or convenient lap desk. If you’re traveling with the family, reserve a king-bed study with an additional sleeper sofa."
Coast Gateway Hotel,"18415 International Blvd, Seattle, WA 98188","At our Coast Gateway Hotel, we aim to make travel as easy as possible—and enjoyable, too. We are the closest hotel to Seatac airport, making us, well, the perfect gateway to the city. Our hotel near the Seattle airport has everything you need, so you can spend less time on logistics and more time relaxing and putting your feet up. You’ll receive free overnight parking as well as complimentary continental breakfast, and Wi-Fi. We are also a pet friendly hotel in Seattle. (Please view our pet friendly page for more details) Like we said; we make things easy for everyone. Be sure to stop by our outstanding restaurant, Sharp’s Roaster & Ale House, for hearty fare and exceptional drinks. We have over 500 spirits and 26 beers on draft to choose from! For those heading out of the city, feel free to use our flight check-in system and savor an extra cup of coffee instead of waiting in a line at the airport. Book the Coast Gateway Hotel near Sea-Tac airport today!"
Embassy Suites by Hilton Seattle Tacoma International Airport,"15920 W Valley Hwy, Seattle, WA 98188","The Embassy Suites Seattle-Tacoma International Airport hotel is located just minutes from Seattle-Tacoma International Airport, Westfield Shopping Mall and Starfire Sports Complex. Our pet-friendly all-suite hotel offers a complimentary airport shuttle service 24 hours a day, seven days a week. Relax in a two-room suite and enjoy more living space for the family or a productive place to catch up on business. Created with you in mind, all of our spacious suites boast a number of great amenities, allowing you more choices and comfort during your stay, including a wet bar featuring a microwave oven, coffee maker and refrigerator.  Enjoy all the support you’ll need for business at this Seattle Airport hotel offering a professional 24-hour business center. Host a business meeting or special event for up to 300 guests in more than 5,300 sq. ft. of meeting space. The hotel’s friendly, dedicated event team can help with the details. Stay fit while you’re on the road in the hotel’s fully equipped fitness center or take a dip in the pool. Indulge in Mediterranean cuisine at Basil’s Kitchen or relax with bar snacks and an evening drink at Basil’s Lounge."
Home2 Suites by Hilton Seattle Airport,"380 Upland Dr, Tukwila, WA 98188","Enjoy all the comforts of home at Home2 Suites by Hilton Seattle Airport. This extended-stay hotel in Tukwila, WA, is ideally situated near the Seattle-Tacoma International Airport, making it a fantastic base for travelers who need to catch an early flight. Guests enjoy proximity to Boeing Renton, Providence Health Systems and REI HQ, and easy access to major freeways, delectable restaurants, Westfield Southcenter shopping and outdoor recreation. Join us each morning for free breakfast at our Inspired Table™, and stock up on chilled meals, snacks, drinks and toiletries 24/7 at Home2 MKT®. Feel at home in an inviting studio or one-bedroom suite at this Tukwila, WA hotel. Customize your space to fit your needs with the flexible 'Working Wall,' and stay connected with the contemporary media hub. Enjoy amenities including complimentary WiFi and a large, moveable work/dining table. Feel at home with a full kitchen, complete with a microwave, dishwasher, refrigerator, flatware and utensils. Don’t leave your small pet at home while you travel – they are more than welcome at Home2. Refresh in the indoor saline swimming pool, and meet friends to cook dinner on the BBQ grills of the attractive outdoor patio. Multitask in our integrated laundry/fitness facility, Spin2Cycle, where you can run a load of laundry while you work out. Hold a small business event for up to 55 people in our meeting room or boardroom. Check emails in the Work Zone."
"Country Inn & Suites by Radisson, Seattle-Tacoma International Airport","3100 S 192nd St, Seattle, WA 98188","The Country Inn & Suites by Radisson, Seattle-Tacoma International Airport, WA welcomes you the moment you land at Sea-Tac Airport (SEA) with a free shuttle ride to the hotel. When you walk through the front door, our friendly staff will greet you with hot beverages and cookies in the lobby. Let our shuttle transport you to the Link light rail for easy commutes into Seattle, where you can enjoy aviation-themed fun at The Museum of Flight and iFLY Seattle, or catch a Seahawks football game at CenturyLink Field. Parking is included during your stay. Use the fitness center to stay active and the 24-hour laundry facilities to keep clothes fresh after your workout. A free, hot breakfast fuels you for the day, and free Wi-Fi enables you to research local attractions while you plan your Seattle itinerary. Our amenities and services include: Free Hot Breakfast, Free Wi-Fi, Complimentary 24-Hour Shuttle to the Airport with Connection to the Link Light Rail System, Free Parking During Your Stay, Fitness Center and Business Center, Inn Case Market, Open 24 Hours."
Four Points by Sheraton Seattle Airport South,"22406 WA-99, Des Moines, WA 98198","You will love our location! Nearby you can enjoy great shopping and entertainment at Westfield Southcenter Mall, dining on the South Puget Sound waterfront and local parks and trails. Our hotel is three miles from Seattle-Tacoma International Airport (SEA) and Link Light Rail to downtown Seattle, and offers a free, 24-hour shuttle service to both. We are conveniently located just off I-5 and Highway 99, 25 minutes from both Seattle and Tacoma."
Homewood Suites by Hilton Seattle-Tacoma Airport/Tukwila,"6955 Fort Dent Way, Tukwila, WA 98188","Enjoy home comforts and a location near the airport at our Seattle hotel. Located three miles from Seattle-Tacoma International Airport and 11 miles from downtown Seattle, Homewood Suites by Hilton® Seattle-Tacoma Airport/Tukwila hotel is the ideal accommodation for both short and extended stays. Enjoy easy access to the many local attractions including Starfire Sports Complex, Pike Place Market, Westfield Southcenter Mall, and the Museum of Flight. Boeing Training and Flight Center and the Starbucks Headquarters among many other businesses are also close to the hotel. Complimentary shuttle service, based upon availability. Visiting Seattle couldn’t be easier – the hotel is close to Highways 5 and 405 and the Seattle Link Light Rail. ake yourself at home in your one- or two-bedroom suite with everything you need for work and relaxation in the separate sleeping and living areas such as a full kitchen, complimentary WiFi access, and a 32-inch flat-screen TV. Wake up to a complimentary full hot breakfast dalily and join us for our complimentary evening social* Monday through Thursday. Catch up with work in the 24-hour business center. Hold meetings for up to 40 guests in our meeting space. Our Seattle Airport hotel also features an array of recreational facilities including an outdoor swimming pool, basketball court and fitness center. Enjoy a relaxing walk or run on the interurban trail located behind the hotel."
Motel 6 Seattle Sea-Tac Airport South,"18900 47th Ave S, Seattle, WA 98188",Motel 6 Seattle Sea-Tac Airport South is accessible from I-5 with free shuttle service to and from the airport. Restaurants are nearby. The beach is 3 miles. Enjoy our modern rooms and seasonal outdoor pool. Free Wi-Fi is available in all rooms.
Hostelling International Seattle at the American Hotel,"520 S King St, Seattle, WA 98104","Set in the Chinatown-International District neighborhood in the heart of Seattle, HI - Seattle at the American Hotel Hostel is located 500 metres from CenturyLink Field  and T-Mobile Park, and 1.6 km from Pike Place Market. This 2-star hostel features free WiFi and a shared lounge. Local points of interest like Space Needle and Seattle Center are reachable within 2.9 km and 3.2 km, respectively. A continental breakfast is available every morning at the property. The reception can offer helpful tips and directions for getting around the area. We are located within minutes from the Link Light Rail station where you can arrive via Sea-Tac Airport which is 17 km from the property. "
Green Tortoise Hostel Seattle,"105 Pike St, Seattle, WA 98101","The Green Tortoise philosophy is that beautiful places, great food, and sociable people are the only essentials for gratifying travel experiences. We built the Seattle and San Francisco hostels around this social communal experience. We have expanded and refined the hostel experience with free internet, communal meals in our self-catering kitchen, private bathrooms, and comforts that make the Green Tortoise unique. Located across from the world famous Pike Place Market, in the heart of the city, come see what Seattle has to offer! self-catering kitchen, free wifi, internet computers and printers, free luggage storage, available bike rentals, walking tours, city tours, pub crawls, 24 hour reception with no lockout or curfews. We offer co-ed dorms (males & females), female dorms, private rooms and family rooms. Each bed has a large storage locker, reading light, fan, four plug outlet and privacy curtains. Bathrooms are all shared in the hallway but are individual units; sink, shower, toilet and locking door so it’s just you while you use it."
